genename	fold-change	P.Value	name
CHMP1A	1.67	0.000263726	Charged multivesicular body protein 1a (Chromatin-modifying protein 1a)
ARCN1	1.358	0.000273142	Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)
RPLP1	0.647	0.000332983	Large ribosomal subunit protein P1 (60S acidic ribosomal protein P1)
PCSK1N	1.369	0.000356778	ProSAAS (Proprotein convertase subtilisin/kexin type 1 inhibitor) (Proprotein convertase 1 inhibitor) (pro-SAAS) [Cleaved into: KEP; Big SAAS (b-SAAS); Little SAAS (l-SAAS) (N-proSAAS); Big PEN-LEN (b-PEN-LEN) (SAAS CT(1-49)); PEN; Little LEN (l-LEN); Big LEN (b-LEN) (SAAS CT(25-40))]
MT-CO2	0.707	0.000360999	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)
DHCR7	1.236	0.000419243	7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Delta7-sterol reductase) (Sterol Delta(7)-reductase) (Sterol reductase SR-2)
EIF4A3	1.292	0.000434811	"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]"
GCN1	0.328	0.000440665	Stalled ribosome sensor GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1) (HsGCN1)
YWHAH	1.314	0.000483402	14-3-3 protein eta (Protein AS1)
ANXA5	0.736	0.00058523	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)
RPL38	0.764	0.000592732	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)
UBE2M	1.388	0.000613523	NEDD8-conjugating enzyme Ubc12 (EC 2.3.2.34) (NEDD8 carrier protein) (Ubiquitin-conjugating enzyme E2 M)
KPNA4	0.669	0.000685253	Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)
NAGA	1.299	0.000672807	Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B)
BTF3L4	0.541	0.000724459	Transcription factor BTF3 homolog 4 (Basic transcription factor 3-like 4)
CAP1	1.256	0.000734687	Adenylyl cyclase-associated protein 1 (CAP 1)
DDX19A	1.386	0.000754495	RNA helicase (EC 3.6.4.13)
ACAT2	0.637	0.000758058	"Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Acetyl-CoA transferase-like protein) (Cytosolic acetoacetyl-CoA thiolase)"
UBE2V2	1.542	0.000862165	Ubiquitin-conjugating enzyme E2 variant 2 (DDVit 1) (Enterocyte differentiation-associated factor 1) (EDAF-1) (Enterocyte differentiation-promoting factor 1) (EDPF-1) (MMS2 homolog) (Vitamin D3-inducible protein)
THOP1	1.259	0.000910604	Thimet oligopeptidase (EC 3.4.24.15) (Endopeptidase 24.15) (MP78)
SRRT	1.3	0.00091809	Serrate RNA effector molecule homolog (Arsenite-resistance protein 2)
USO1	1.273	0.000940329	General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein)
PRKAR2B	0.649	0.00098991	cAMP-dependent protein kinase type II-beta regulatory subunit
HADH	0.539	0.001017308	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)
SKP1	1.278	0.001026335	S-phase kinase-associated protein 1
NIT1	1.4	0.001079028	Deaminated glutathione amidase (dGSH amidase) (EC 3.5.1.128) (Nitrilase homolog 1)
RBM4	1.389	0.001064674	RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a)
TF	1.406	0.001122605	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)
ACSF2	1.403	0.001136781	"Medium-chain acyl-CoA ligase ACSF2, mitochondrial (EC 6.2.1.2)"
FBL	0.679	0.001148058	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase) (U6 snRNA 2'-O-methyltransferase fibrillarin)
CSNK1A1	0.664	0.001243911	non-specific serine/threonine protein kinase (EC 2.7.11.1)
NUDC	1.333	0.001248044	Nuclear migration protein nudC (Nuclear distribution protein C homolog)
CKB	0.766	0.001250304	Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)
RPS3A	1.288	0.001270415	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein) (Fte-1)
PABPN1	0.56	0.001328466	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)
PSMA1	1.224	0.001345111	Proteasome subunit alpha type-1 (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)
SMS	0.538	0.001402347	Spermine synthase (SPMSY) (EC 2.5.1.22) (Spermidine aminopropyltransferase)
HMGB2	1.317	0.001352652	High mobility group protein B2 (High mobility group protein 2) (HMG-2)
USP39	0.56	0.001563366	ubiquitinyl hydrolase 1 (EC 3.4.19.12)
GRB2	1.425	0.001511848	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)
STX7	1.346	0.001574792	Syntaxin-7
PSAP	1.325	0.001597245	Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]
DIP2B	1.71	0.001710197	Disco-interacting protein 2 homolog B (DIP2 homolog B)
AGK	0.637	0.001787939	"Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)"
PPM1A	1.256	0.001759658	Protein phosphatase 1A (EC 3.1.3.16) (Protein phosphatase 2C isoform alpha) (PP2C-alpha) (Protein phosphatase IA)
LDHB	1.231	0.001787218	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)
IRGQ	1.242	0.00183317	Immunity-related GTPase family Q protein
DRG2	0.652	0.002084287	Developmentally regulated GTP binding protein 2
ALDH9A1	1.295	0.001993436	"4-trimethylaminobutyraldehyde dehydrogenase (TMABA-DH) (TMABALDH) (EC 1.2.1.47) (Aldehyde dehydrogenase E3 isozyme) (Aldehyde dehydrogenase family 9 member A1) (EC 1.2.1.3) (Formaldehyde dehydrogenase) (EC 1.2.1.46) (Gamma-aminobutyraldehyde dehydrogenase) (EC 1.2.1.19) (R-aminobutyraldehyde dehydrogenase) [Cleaved into: 4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed]"
SMCHD1	0.639	0.002029424	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)
GATAD2B	1.329	0.002035461	GATA zinc finger domain containing 2B
FXR1	1.297	0.00205954	RNA-binding protein FXR1 (FMR1 autosomal homolog 1) (hFXR1p)
PEDS1-UBE2V1	1.365	0.002109085	HCG2044781 (PEDS1-UBE2V1 readthrough)
EDF1	1.404	0.002237398	Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)
RPL23A	1.372	0.002146071	Ribosomal protein L23a
THRAP3	1.284	0.002189267	Thyroid hormone receptor associated protein 3
C1QBP	0.711	0.002198432	"Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)"
MTCL3	1.323	0.002208426	SOGA family member 3
KLC1	1.251	0.002211512	Kinesin light chain
PEA15	0.62	0.002338018	Astrocytic phosphoprotein PEA-15 (15 kDa phosphoprotein enriched in astrocytes) (Phosphoprotein enriched in diabetes) (PED)
SSB	0.761	0.002234744	Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B)
RBFOX2	0.687	0.002554753	RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (RNA-binding motif protein 9) (RNA-binding protein 9)
LUC7L2	1.352	0.002394735	Putative RNA-binding protein Luc7-like 2
BUB3	1.275	0.002412974	Mitotic checkpoint protein BUB3
PRPS1	1.289	0.002440476	ribose-phosphate diphosphokinase (EC 2.7.6.1)
RCN2	0.596	0.002443252	Reticulocalbin-2 (Calcium-binding protein ERC-55) (E6-binding protein) (E6BP)
DBNL	1.308	0.002447327	Drebrin-like protein (Cervical SH3P7) (Cervical mucin-associated protein) (Drebrin-F) (HPK1-interacting protein of 55 kDa) (HIP-55) (SH3 domain-containing protein 7)
UBA5	0.735	0.002948276	Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (ThiFP1) (UFM1-activating enzyme) (Ubiquitin-activating enzyme E1 domain-containing protein 1)
KPNA6	1.262	0.002718554	Importin subunit alpha-7 (Karyopherin subunit alpha-6)
LUC7L	1.503	0.002799102	Putative RNA-binding protein Luc7-like 1 (Putative SR protein LUC7B1) (SR+89)
RPL15	1.524	0.002940571	Ribosomal protein L15
CARM1	1.218	0.002964735	Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4)
TUBA1B	0.272	0.002990813	Tubulin alpha-1B chain (EC 3.6.5.-) (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]
ATP5ME	1.315	0.003014071	"ATP synthase subunit e, mitochondrial (ATPase subunit e) (ATP synthase membrane subunit e) [Cleaved into: ATP synthase subunit e, mitochondrial, N-terminally processed]"
GTF2F1	1.348	0.003200976	General transcription factor IIF subunit 1 (General transcription factor IIF 74 kDa subunit) (Transcription initiation factor IIF subunit alpha) (TFIIF-alpha) (Transcription initiation factor RAP74)
TRA2B	0.592	0.003195397	"Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)"
USP10	0.77	0.003420055	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)
PCNP	1.586	0.003270992	PEST proteolytic signal-containing nuclear protein (PCNP) (PEST-containing nuclear protein)
ATP5PF	1.242	0.00352468	"ATP synthase-coupling factor 6, mitochondrial (ATPase subunit F6) (ATP synthase peripheral stalk subunit F6)"
TUBB3	0.686	0.003353514	Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)
RAB3A	1.344	0.003422043	Ras-related protein Rab-3A
RPL34	1.41	0.003758599	Large ribosomal subunit protein eL34 (60S ribosomal protein L34)
H1-5	1.281	0.003581462	Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3)
NXN	0.602	0.003744446	Nucleoredoxin (EC 1.8.1.8)
RBM14	1.33	0.003871016	RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)
SARNP	1.362	0.003887418	SAP domain-containing ribonucleoprotein (Cytokine-induced protein of 29 kDa) (Nuclear protein Hcc-1) (Proliferation-associated cytokine-inducible protein CIP29)
PALM	1.48	0.003921795	Paralemmin-1 (Paralemmin)
DAD1	1.257	0.003958925	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1)
HACD3	0.797	0.003965084	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 3) (HACD3) (Butyrate-induced protein 1) (B-ind1) (hB-ind1) (Protein-tyrosine phosphatase-like A domain-containing protein 1)
RPS20	1.278	0.004029089	Small ribosomal subunit protein uS10 (40S ribosomal protein S20)
LIN7A	1.374	0.004030279	Protein lin-7 homolog A (Lin-7A) (hLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Tax interaction protein 33) (TIP-33) (Vertebrate lin-7 homolog 1) (Veli-1)
PHYHIPL	1.303	0.004387779	Phytanoyl-CoA hydroxylase-interacting protein-like
MAP4	1.227	0.004051151	Microtubule-associated protein
FKBP5	0.747	0.004080142	Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5) (FKBP-5) (FKBP54) (p54) (HSP90-binding immunophilin) (Rotamase)
PSMB3	0.778	0.004385398	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)
BASP1	1.307	0.004112144	Brain acid soluble protein 1 (22 kDa neuronal tissue-enriched acidic protein) (Neuronal axonal membrane protein NAP-22)
CSTF3	0.764	0.004133827	Cleavage stimulation factor subunit 3
GRHPR	0.628	0.004167356	Glyoxylate reductase/hydroxypyruvate reductase (EC 1.1.1.79) (EC 1.1.1.81)
GPC2	1.419	0.004246918	Glypican-2 [Cleaved into: Secreted glypican-2]
PIN1	0.584	0.004358534	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)
MESD	1.279	0.004458363	LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development LRP chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein) (Renal carcinoma antigen NY-REN-61)
ZNF512	0.695	0.004460092	Zinc finger protein 512
IDI1	0.513	0.004525882	Isopentenyl-diphosphate Delta-isomerase 1 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1)
AGPAT4	0.772	0.004933874	1-acyl-sn-glycerol-3-phosphate acyltransferase delta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 4) (1-AGP acyltransferase 4) (1-AGPAT 4) (Lysophosphatidic acid acyltransferase delta) (LPAAT-delta)
ATP5MG	1.236	0.004611694	ATP synthase membrane subunit g
DCAF7	1.242	0.004729491	DDB1- and CUL4-associated factor 7 (WD repeat-containing protein 68) (WD repeat-containing protein An11 homolog)
BUD31	1.325	0.005043753	Protein BUD31 homolog (Protein EDG-2) (Protein G10 homolog)
HMGA2	1.403	0.004865259	High mobility group AT-hook 2
DNM1L	0.558	0.004988184	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)
FAF2	0.654	0.005015414	FAS-associated factor 2 (UBX domain-containing protein 3B) (UBX domain-containing protein 8)
COPS3	0.79	0.005281039	COP9 signalosome complex subunit 3 (SGN3) (Signalosome subunit 3) (JAB1-containing signalosome subunit 3)
CDKN2AIP	1.505	0.006669315	CDKN2A-interacting protein (Collaborator of ARF)
PPP2R2A	0.601	0.005449016	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)
CHCHD3	1.313	0.005488732	Coiled-coil-helix-coiled-coil-helix domain containing 3
RBMX	1.267	0.005612133	"RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]"
DLGAP4	1.286	0.005660916	Disks large-associated protein 4 (DAP-4) (PSD-95/SAP90-binding protein 4) (SAP90/PSD-95-associated protein 4) (SAPAP-4)
POGZ	0.601	0.005773016	Pogo transposable element with ZNF domain (Suppressor of hairy wing homolog 5) (Zinc finger protein 280E) (Zinc finger protein 635)
NDUFS6	1.359	0.006724522	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Complex I-13kD-A) (CI-13kD-A) (NADH-ubiquinone oxidoreductase 13 kDa-A subunit)"
TMED7-TICAM2	0.785	0.005826805	Protein TMED7-TICAM2
IQGAP1	0.594	0.006361111	Ras GTPase-activating-like protein IQGAP1 (p195)
AGPS	0.796	0.006194431	"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)"
SAE1	1.234	0.006212036	"SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A) [Cleaved into: SUMO-activating enzyme subunit 1, N-terminally processed]"
AP1G1	0.618	0.006218581	AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1)
SUN2	0.561	0.006322314	SUN domain-containing protein 2 (Protein unc-84 homolog B) (Rab5-interacting protein) (Rab5IP) (Sad1/unc-84 protein-like 2)
IPO5	0.822	0.006364951	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)
TBCB	1.222	0.006394206	Tubulin folding cofactor B
GAA	0.813	0.007189209	Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase) (Aglucosidase alfa) [Cleaved into: 76 kDa lysosomal alpha-glucosidase; 70 kDa lysosomal alpha-glucosidase]
RPS27	1.302	0.006778819	Small ribosomal subunit protein eS27 (40S ribosomal protein S27) (Metallopan-stimulin 1) (MPS-1)
PSMC2	1.223	0.006795794	26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)
TUBB	0.302	0.006902032	Tubulin beta chain
HSD17B12	0.568	0.006985297	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 12C member 1)
RPS7	0.678	0.007067053	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)
EIF3D	0.659	0.007121666	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)
ANXA1	0.695	0.007184307	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35) [Cleaved into: Annexin Ac2-26]
H2AZ2	0.652	0.007227886	Histone H2A.V (H2A.F/Z) (H2A.Z variant histone 2)
PGP	0.815	0.008107979	Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)
OSGEP	1.369	0.008273913	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (O-sialoglycoprotein endopeptidase) (hOSGEP) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein OSGEP) (tRNA threonylcarbamoyladenosine biosynthesis protein OSGEP)
SRSF6	1.289	0.007400483	"Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)"
CTSB	1.29	0.007564466	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]
RPL31	1.313	0.007588597	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)
ARF1	0.82	0.007781695	ADP-ribosylation factor 1 (EC 3.6.5.2)
TUBB6	0.75	0.007823018	Tubulin beta-6 chain (Tubulin beta class V)
COPG1	0.61	0.008202107	Coatomer subunit gamma-1 (Gamma-1-coat protein) (Gamma-1-COP)
TMED10	0.668	0.009150428	Transmembrane emp24 domain-containing protein 10 (Protein TMED10) (21 kDa transmembrane-trafficking protein) (S31I125) (S31III125) (Tmp-21-I) (Transmembrane protein Tmp21) (p23) (p24 family protein delta-1) (p24delta1) (p24delta)
TIAL1	1.222	0.008548256	Nucleolysin TIAR (TIA-1-related protein)
SRSF9	1.292	0.008813778	"Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)"
CLTA	1.239	0.008844361	Clathrin light chain A (Lca)
TEX10	0.774	0.009775647	Testis-expressed protein 10
NUP35	1.281	0.009012401	Nucleoporin NUP35 (35 kDa nucleoporin) (Mitotic phosphoprotein 44) (MP-44) (Nuclear pore complex protein Nup53) (Nucleoporin NUP53)
AP3D1	0.54	0.0097881	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)
AP2A2	0.64	0.009108556	AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit)
ABAT	0.558	0.009150043	"4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) (EC 2.6.1.22) ((S)-3-amino-2-methylpropionate transaminase) (GABA aminotransferase) (Gamma-amino-N-butyrate transaminase) (L-AIBAT)"
MAP7D1	1.249	0.009959773	MAP7 domain-containing protein 1 (Arginine/proline-rich coiled-coil domain-containing protein 1) (Proline/arginine-rich coiled-coil domain-containing protein 1)
PRPSAP2	0.712	0.009447817	Phosphoribosyl pyrophosphate synthase-associated protein 2 (PRPP synthase-associated protein 2) (41 kDa phosphoribosypyrophosphate synthetase-associated protein) (PAP41)
SFPQ	1.226	0.009344175	"Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)"
SEPTIN5	1.253	0.009371323	Septin-5 (Cell division control-related protein 1) (CDCrel-1) (Peanut-like protein 1)
RPS28	1.3	0.009491246	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)
COPG2	0.799	0.009602141	Coatomer subunit gamma-2 (Gamma-2-coat protein) (Gamma-2-COP)
TLN1	0.567	0.010476756	Talin-1
LANCL2	1.234	0.009789734	LanC-like protein 2 (Testis-specific adriamycin sensitivity protein)
GARS1	0.606	0.009832418	Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase) (GlyRS) (Glycyl-tRNA synthetase 1)
HNRNPA1	0.764	0.009920869	"Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]"
MYL1	1.26	0.012056659	"Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)"
CALR	0.768	0.009983882	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)
HNRNPH3	1.229	0.010085184	Heterogeneous nuclear ribonucleoprotein H3 (hnRNP H3) (Heterogeneous nuclear ribonucleoprotein 2H9) (hnRNP 2H9)
